,yelpid,name,lat,lng,distance miles,distance meters,price rating,price value,review count,review rating,type,sub type,address1,city,state,zip,reviewid,compound,positive,negative,neutral,review text,timestamp,reviewer name,reviewer id
59,5rrh1NndJ8u9VjiL0V6Qew,Global Cafe,33.63124,-117.832907,0.92,1473,$,1,24,4.0,American (New),Cafes,5001 Newport Coast Dr,Irvine,CA,92603,oQLY7mcgsxoiFas6g9qJUQ,0.9061,0.434,0.0,0.566,"Beautiful ambiance, delicious and healthy food. The prices are very competitive. The servers are really nice.i highly recommending this place",2018-08-06 10:12:19,Erika D.,9b2iJLmOKLwJ7VagUaxliA
60,S445_-W9AwZO52M28Y78tA,Cha For Tea,33.6506645616254,-117.838942874257,0.77,1234,$,1,1597,3.5,Bubble Tea,Cafes,4187 Campus Dr,Irvine,CA,92612,xBu1M7qLGXqI_pLzOAzc-g,0.2023,0.102,0.076,0.822,"When I had been here before, it was an absolute sh$%show. I was pleasantly shocked at how much it changed. They renovated and redid the layout so that the...",2018-08-24 19:16:48,Aileen K.,tgxOMt72pALx3_r2uZ92tQ
61,S445_-W9AwZO52M28Y78tA,Cha For Tea,33.6506645616254,-117.838942874257,0.77,1234,$,1,1597,3.5,Bubble Tea,Cafes,4187 Campus Dr,Irvine,CA,92612,wah1a7XFrtWmR6mdA6pLPQ,-0.661,0.066,0.238,0.696,"My friend warned me that Cha for Tea isn't very good and that I should opt for Sharetea, but as someone who's been perpetually disappointed by Sharetea...",2018-09-22 00:50:12,Erica T.,4QdMznpbs0930hGZSGmseQ
62,S445_-W9AwZO52M28Y78tA,Cha For Tea,33.6506645616254,-117.838942874257,0.77,1234,$,1,1597,3.5,Bubble Tea,Cafes,4187 Campus Dr,Irvine,CA,92612,VfeSQGpVtzLbAR_3FPncaw,0.0,0.0,0.0,1.0,"Cha for Tea is the main boba establishment in UTC, and you'll frequently see this shop get packed late at night. For all the hype I heard about it, I wasn't...",2018-09-19 06:21:26,Anna T.,zckLu2_HoG2UmmQzC52AZw
63,Q30Zh4ivr1b4mXrLTyLvDA,ADYA,33.6505451832087,-117.837922341357,0.79,1263,$$,2,112,3.0,Indian,Cooking Classes,4213 Campus Dr,Irvine,CA,92612,AzOr2CDYZpImvs4mvkNBmw,0.5719,0.139,0.0,0.861,"3.8 stars: 

Food: 4 Stars
Delicious. Ordered the Thali with Chicken Tikka Masala and ordered a side of the Saag Paneer. Chicken Tikka Masala was buttery...",2018-08-30 13:39:21,Herumi B.,BokQtGtp4pGFZq0VuHIofQ
64,Q30Zh4ivr1b4mXrLTyLvDA,ADYA,33.6505451832087,-117.837922341357,0.79,1263,$$,2,112,3.0,Indian,Cooking Classes,4213 Campus Dr,Irvine,CA,92612,Ikw9eZVtjLv8XK1oZ2obkg,0.4753,0.108,0.039,0.853,Disclaimer: I'm a noob when it comes to Indian food! I came to Adya due to the OC coupon book (my favorite thing in the world). I ordered the chicken tiki...,2018-09-20 11:04:33,Francis C.,zb0qlxVLaHFm6s377MY9qw
65,Q30Zh4ivr1b4mXrLTyLvDA,ADYA,33.6505451832087,-117.837922341357,0.79,1263,$$,2,112,3.0,Indian,Cooking Classes,4213 Campus Dr,Irvine,CA,92612,HzAHZEs6FX9QtxWYHun_bg,0.7577,0.238,0.0,0.762,"Food: 4/5
I really want to give them a 5/5, but they are so inconsistent. When they are on point with good portions, well-executed, and warm, it's an easy...",2018-08-22 15:19:37,Justin F.,quTcEC42l3B2KJwYytpMMw
66,uhOztX8_pe52lQlYKTaFjw,Ray's Pizza,33.65076,-117.83831,0.8,1282,$,1,240,4.0,Pizza,Italian,4199 Campus Dr,Irvine,CA,92612,wu9CxFmFB6tgX_PaQv8qiw,0.9191,0.32,0.055,0.624,"Ray's is my fiancé and my go-to pizza place! We love the pizza and anti pasta salad. Also, the owner, Ray, is awesome!!! He is so sweet and attentive! We...",2018-08-26 17:32:51,Kelly R.,AEuLOyfQWg1O4KZ2qqvF4w
67,uhOztX8_pe52lQlYKTaFjw,Ray's Pizza,33.65076,-117.83831,0.8,1282,$,1,240,4.0,Pizza,Italian,4199 Campus Dr,Irvine,CA,92612,3tgqZSxqG5onJfgWSEvw6w,0.6597,0.231,0.0,0.769,"Average pizza, served quick, over $3 per slice. I'd recommend going over to Blaze and getting something that tastes better.",2018-03-01 15:59:57,Frank O.,FJKw-FNduFwowZtrs36Egg
68,uhOztX8_pe52lQlYKTaFjw,Ray's Pizza,33.65076,-117.83831,0.8,1282,$,1,240,4.0,Pizza,Italian,4199 Campus Dr,Irvine,CA,92612,gvv9VV0vHUysZ3KXAZbVDA,0.8172,0.222,0.046,0.732,"I'm in love with the pizza here! It's seriously delicious and the closest thing to an authentic NY slice that I've had on the West coast.

The owner is a...",2018-02-12 15:48:10,Lawrence H.,r801ueHQdKA1Ie4YIRQuWg
69,3xTbXKlqf3luiSHdwr4qBw,Crystal Cove Cafe,33.6396122,-117.8524788,0.57,919,$,1,20,4.0,American (Traditional),Sandwiches,5221 California Ave,Irvine,CA,92617,mDNIC0X8YxURdzHajYyz5Q,0.5648,0.163,0.066,0.771,"Affordable eatery.......in IRVINE???!! That's some kind of oxymoron right??

And the food is _consistently_  good to boot.

WHERE ARE THEY LOCATED? -- It's...",2012-10-31 13:53:08,Joy C.,G8LR38sNySXyz5Erzjv-0g
70,3xTbXKlqf3luiSHdwr4qBw,Crystal Cove Cafe,33.6396122,-117.8524788,0.57,919,$,1,20,4.0,American (Traditional),Sandwiches,5221 California Ave,Irvine,CA,92617,NlQ4nuhkPaJdS80iLEwVtg,0.0,0.0,0.0,1.0,Hi all.  This place has a new owner and the cafe goes by the name of SkyWorks Cafeteria.  I've been frequenting here as a non-Skyworks employee because it's...,2018-08-31 13:08:55,Kristen H.,_kplD46vnNHoSB8twrMHdw
71,3xTbXKlqf3luiSHdwr4qBw,Crystal Cove Cafe,33.6396122,-117.8524788,0.57,919,$,1,20,4.0,American (Traditional),Sandwiches,5221 California Ave,Irvine,CA,92617,SLnOwgJqGr7XkrPZNd1rCw,0.5859,0.161,0.0,0.839,"This place is pretty solid when it comes to the food. I've been patronizing this establishment for years, and even now after a change in management. So why...",2017-12-13 10:16:39,Alvin S.,-x-zXhQNfaBTzVnOZMj3vQ
72,aKnJouAzGuC27p1evweuHw,The Habit Burger Grill,33.6487929973514,-117.832127250731,0.9,1456,$,1,92,4.0,Burgers,Sandwiches,4501 Campus Dr,Irvine,CA,92612,IjV0idY6-K8xORvH6kIAKg,0.5106,0.158,0.0,0.842,"Habit Burger delivers in many categories, for both the casual burger eater and the burger enthusiast. First timers can try the charburger with cheese, which...",2018-06-04 12:29:01,Henry L.,YoDrEM2wQmsALuc2IovqXQ
73,aKnJouAzGuC27p1evweuHw,The Habit Burger Grill,33.6487929973514,-117.832127250731,0.9,1456,$,1,92,4.0,Burgers,Sandwiches,4501 Campus Dr,Irvine,CA,92612,hVX5VPTx1T2a-C1R9S0vPw,0.6124,0.188,0.0,0.812,"I've been here a couple times and it's always been okay. Wait time is about 20 min and that's fine with me because at least I know it's fresh. 

Every time...",2018-09-15 08:53:50,Wendy Z.,3FFy8jxCC23zmX3TcSYJiw
74,aKnJouAzGuC27p1evweuHw,The Habit Burger Grill,33.6487929973514,-117.832127250731,0.9,1456,$,1,92,4.0,Burgers,Sandwiches,4501 Campus Dr,Irvine,CA,92612,POu0Izf9B7do_a4sxPxjTw,0.8422,0.282,0.063,0.655,"the food is very good, I really like the burgers and the sides of chicken and the chicken salads are great too

The reason they lost 3 stars is because...",2018-08-17 16:41:57,Mimi D.,zXfVd5eued5XPfg4_c1CFw
75,bhNBmYIZppxfIw0pUnEtTw,Chipotle Mexican Grill,33.649593,-117.839315,0.69,1111,$,1,162,2.5,Mexican,Fast Food,4255 Campus Dr,Irvine,CA,92612,diMvZEzktlbPaAqHhhpAyg,0.3182,0.087,0.0,0.913,Craving for fresh vegetarian Mexican food for lunch? Chipotle at UCI center is a logical choice. Their Veggie Bowl or Veggie Burrito is humongous and will...,2018-04-25 19:45:53,Sanjay D.,4Akakziagi8fex5FdQlk1w
76,bhNBmYIZppxfIw0pUnEtTw,Chipotle Mexican Grill,33.649593,-117.839315,0.69,1111,$,1,162,2.5,Mexican,Fast Food,4255 Campus Dr,Irvine,CA,92612,TqBZUpDBU-NtIDgagEM40w,0.293,0.178,0.144,0.678,"Service was really great and the food is okay.

Only problem is I found barbacoa in my sofritas bowl and cheese in my guac... not good for vegans. Would...",2018-05-22 19:56:02,Nathan G.,d2F_jrGXFOtWL8cjthNS7A
77,bhNBmYIZppxfIw0pUnEtTw,Chipotle Mexican Grill,33.649593,-117.839315,0.69,1111,$,1,162,2.5,Mexican,Fast Food,4255 Campus Dr,Irvine,CA,92612,XCTpxW1z6_HCcohi3wfkTg,0.4527,0.11,0.0,0.89,"Over the years I've been attending UCI, this chipotle has consistently declined in its quality and service. I used to LOVE chipotle but slowly I've felt...",2018-04-06 19:26:42,Erin C.,aywqvN6fg5KrZ48XV1vFOg
78,95EO0b9QN_fxElBIR1lUUw,Ding's Garden,33.6487679,-117.8315947,0.96,1541,$,1,47,2.5,Taiwanese,Cafes,4535 Campus Dr,Irvine,CA,92612,4r-MP0-JgRIXyjiq9SuJMg,0.0,0.0,0.0,1.0,"Oh the history of this store. When I first came here around 2005, it was called MJ Cafe Express. Many years later it became Pig House. Then now bought out...",2018-09-04 14:25:04,William W.,kHVkf83YVOyotERDJWA5hA
79,95EO0b9QN_fxElBIR1lUUw,Ding's Garden,33.6487679,-117.8315947,0.96,1541,$,1,47,2.5,Taiwanese,Cafes,4535 Campus Dr,Irvine,CA,92612,rL1N_yWElsn9798hY1PUYQ,0.6705,0.193,0.0,0.807,"I like coming to Ding's by UCI because the food is simple, affordable, & ""quick"".  Prices are below Irvine pricing :) because Ding's caters to UCI students...",2018-07-24 14:59:04,Randy L.,7b5SiKAhS2yhtBSZocltxQ
80,95EO0b9QN_fxElBIR1lUUw,Ding's Garden,33.6487679,-117.8315947,0.96,1541,$,1,47,2.5,Taiwanese,Cafes,4535 Campus Dr,Irvine,CA,92612,r9czig2kOVFWzwML3wmDpw,0.4144,0.112,0.0,0.888,"For how convenient and close to campus this place is, I really wanted to like it. There's not many Taiwanese/Chinese food options available walking...",2018-07-15 13:29:29,Gracie W.,HrsOUf77EUu3aydEo_OVmw
81,6EsUSHmcRJDrK_qGUir2sg,Nekter Juice Bar,33.650237,-117.838652,0.75,1202,$,1,214,4.0,Juice Bars & Smoothies,Gluten-Free,4237 Campus Dr,Irvine,CA,92612,U7LDQll0NrCkSbpmhjAErw,0.8268,0.297,0.079,0.624,Very good service and nicest people of all of the UTC at Irvine! They will accommodate to the most ridiculous of requests. Amazing service and amazing...,2018-09-07 22:48:05,Stasia C.,qmFlhBlKCuPdURIu-U4Vaw
82,6EsUSHmcRJDrK_qGUir2sg,Nekter Juice Bar,33.650237,-117.838652,0.75,1202,$,1,214,4.0,Juice Bars & Smoothies,Gluten-Free,4237 Campus Dr,Irvine,CA,92612,lujLnng_16PCFfMLUjRgRA,0.6633,0.184,0.064,0.752,I'm a HUGE acai bowl lover. Its been my current obsession to try as many of the acai bowls that I can in the OC area. I was in the area so I thought I'd...,2018-08-02 10:33:59,Marlo Y.,Lfu-1_n4KqIpbZmp5t4egw
83,6EsUSHmcRJDrK_qGUir2sg,Nekter Juice Bar,33.650237,-117.838652,0.75,1202,$,1,214,4.0,Juice Bars & Smoothies,Gluten-Free,4237 Campus Dr,Irvine,CA,92612,UIVsrL0XuXmVvtypYrNiZg,-0.4767,0.0,0.11,0.89,"I'm disappointed. 

After hearing so many people rave about Nekter, I have always wanted to check it out and see what's up. I visited this location at UTC...",2018-04-03 10:41:25,Catherine N.,zWvXLUtWMw3-EgcdlHcbFg
84,hpAfAAkdyOHEp4sSwjhrjw,Elements Cafe,33.6383616,-117.8507178,0.36,579,$,1,12,4.0,American (New),American (Traditional),5300 California Ave,Irvine,CA,92614,qZGKZWb5tejHQDpSiMQ4Cg,-0.0274,0.077,0.081,0.842,It is getting pricey. Not sure if the company is getting cheap (less subsidizing) or if elements is getting more expensive (the food isn't getting better to...,2015-11-16 11:13:47,Joshua W.,s0wmsWRID_kNg06WBmhwow
85,hpAfAAkdyOHEp4sSwjhrjw,Elements Cafe,33.6383616,-117.8507178,0.36,579,$,1,12,4.0,American (New),American (Traditional),5300 California Ave,Irvine,CA,92614,pZJZgYCEWc8LjMKA5099Bg,0.4404,0.104,0.0,0.896,This is company Cafe food as good as it gets. Indian and Mexican specialties that taste authentic. Wednesdays are BBQ days and the Mongolian stir fry...,2011-10-24 18:07:39,Sarmen A.,mY22zWA0JimqEtmLHVz5Mg
86,hpAfAAkdyOHEp4sSwjhrjw,Elements Cafe,33.6383616,-117.8507178,0.36,579,$,1,12,4.0,American (New),American (Traditional),5300 California Ave,Irvine,CA,92614,JiDLIbZtPGs3QTuP27uJ1Q,-0.923,0.0,0.388,0.612,"It's a Sad. Sad. Sad day.

After many $3 Dinners and stuffed stomachs, The Messiah, O.G Elements Cafe prophet, informed us about the travesty! The Deal...",2008-11-24 09:59:48,Rye N.,anWpY_ZuvJf71lu4iP456g
87,qxI7VvvxTFuBGmPlv0C6DQ,Café Med,33.64648,-117.8489,0.49,791,$,1,4,4.5,Restaurants,n/a,Bldg 800 Academy Way,Irvine,CA,92697,R_XV9GXmQqE0xPhIJE4ufw,0.6696,0.152,0.0,0.848,Café Med is tucked across in the school of medicine area. I love the quiet atmosphere! They serve everything you need in one place -  from coffee & pastries...,2011-01-11 21:10:43,Tiffany H.,GmQR50bIII7gDNRYEgfXfA
88,qxI7VvvxTFuBGmPlv0C6DQ,Café Med,33.64648,-117.8489,0.49,791,$,1,4,4.5,Restaurants,n/a,Bldg 800 Academy Way,Irvine,CA,92697,nlSwgiKxPZmigIC2y05cGA,0.7901,0.219,0.0,0.781,i love coming here! Trinh is the sweetest worker and always has a smile on her face. i happened to be present when a customer spilled his drink and caused a...,2011-04-07 16:23:22,Thuong D.,HYTk31SozAd2ieDIqPC5cg
89,qxI7VvvxTFuBGmPlv0C6DQ,Café Med,33.64648,-117.8489,0.49,791,$,1,4,4.5,Restaurants,n/a,Bldg 800 Academy Way,Irvine,CA,92697,v-a-CQ5xDbQVUjIqRKnb9Q,0.0,0.0,0.0,1.0,"I work on the UCI medical campus so I get food here very often. I usually get the same thing every time, the breakfast burrito with sausage. It is the most...",2011-01-13 15:28:07,Christopher M.,j60xxHPNuAwdpK5MYHBxXQ
90,P3Wy96hNx32P22vYE1J0Iw,Gen Grill,33.6497103,-117.8401766,0.75,1210,$,1,232,3.0,Japanese,Sushi Bars,4143 Campus Dr,Irvine,CA,92612,1DJvQhrx0VUhFNTmZ7Fh0g,0.6696,0.134,0.0,0.866,I love this place. It's my go to for lunch! I only get chicken katsu curry or udon curry with extra udon. Only down side is the chicken meat does have dark...,2018-06-05 13:31:55,Mittal N.,_tFYS8MWM4uX8DBo2owxMw
91,P3Wy96hNx32P22vYE1J0Iw,Gen Grill,33.6497103,-117.8401766,0.75,1210,$,1,232,3.0,Japanese,Sushi Bars,4143 Campus Dr,Irvine,CA,92612,fU8mA6_z8m_0bGWNl8z9gA,-0.3182,0.0,0.073,0.927,"This review is for their spicy ramen. Only get it if you ran out of instant noodles at home and are desperate for msg in your system. 

In their description...",2018-04-24 12:17:25,Deone P.,JhxmQdVUBQXAYC_EiHvnoA
92,P3Wy96hNx32P22vYE1J0Iw,Gen Grill,33.6497103,-117.8401766,0.75,1210,$,1,232,3.0,Japanese,Sushi Bars,4143 Campus Dr,Irvine,CA,92612,jQYQ_nuT9dbZrdmtnmNQeA,0.7003,0.201,0.0,0.799,Ate here on a Wednesday during lunch hour. Place was pretty busy but still received my order fairly quickly. The cashier was knowledgeable and helpful about...,2018-04-04 13:26:27,Nathan G.,d2F_jrGXFOtWL8cjthNS7A
93,0M9mHQ9ZDR50nPJEckAelQ,The Anteatery,33.6487251520157,-117.845872566104,0.74,1184,$$,2,19,3.0,Cafeteria,n/a,4001 Mesa Rd,Irvine,CA,92617,BVYmYo3VjPKJQKjLEl0Ohw,0.7063,0.196,0.0,0.804,This is a fairly new dining hall for UCI. Let's start with the good things. It's a brand new building so it's understandably clean inside and has a modern...,2018-09-17 01:00:29,Alex K.,FcZFrb0Z1JF6yfjkKB8SDA
94,0M9mHQ9ZDR50nPJEckAelQ,The Anteatery,33.6487251520157,-117.845872566104,0.74,1184,$$,2,19,3.0,Cafeteria,n/a,4001 Mesa Rd,Irvine,CA,92617,bHqsuOp8hMjudi_z6hJqhQ,0.7269,0.203,0.0,0.797,"Food is decent, getting better. Still finding strays of random objects in the food on occasion. A friend found a piece of hair on his plate, after his...",2018-09-14 08:20:49,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
95,0M9mHQ9ZDR50nPJEckAelQ,The Anteatery,33.6487251520157,-117.845872566104,0.74,1184,$$,2,19,3.0,Cafeteria,n/a,4001 Mesa Rd,Irvine,CA,92617,sOrwsS23eMc5_estF2bGfw,0.5487,0.149,0.0,0.851,"I love The Anteatery! Sure, not every dish hits the nail on the head (vegan miso ramen, pizza), but that's to be expected from a facility that serves such a...",2017-04-24 09:04:03,Bailey K.,JDp0413OfJqO5fIdMFZTJg
96,vNGn5nU9tCteCIt67pu2kg,Gina's Pizza & Pastaria,33.649820768447,-117.83204748763,0.95,1536,$$,2,524,3.5,Pizza,Salad,4533 Campus Dr,Irvine,CA,92612,xIWKxkCo1_fKvkiSp5o0dw,0.5413,0.137,0.0,0.863,"I have been a customer here since 2014. Gina's pizza delivers quality every time. I especially enjoy the Godfather, which has three different types of meats...",2018-07-02 17:40:17,Henry L.,YoDrEM2wQmsALuc2IovqXQ
97,vNGn5nU9tCteCIt67pu2kg,Gina's Pizza & Pastaria,33.649820768447,-117.83204748763,0.95,1536,$$,2,524,3.5,Pizza,Salad,4533 Campus Dr,Irvine,CA,92612,RfdKDQZGlWe_BDLlBRCWmg,0.0,0.0,0.0,1.0,Will not return here again. Tonight I went in to get some pizza. We walked into the restaurant and stood at the counter waiting to be helped. The boy...,2018-09-21 00:29:02,Cami H.,CUnPWCBA7zxKKfTXG-Wu8A
98,vNGn5nU9tCteCIt67pu2kg,Gina's Pizza & Pastaria,33.649820768447,-117.83204748763,0.95,1536,$$,2,524,3.5,Pizza,Salad,4533 Campus Dr,Irvine,CA,92612,avRRtkVOrNGNq_3V2tXWcg,0.7233,0.216,0.0,0.784,I actually really like Gina's Pizza. I come to their Laguna Beach location quite often. My favorite items are their Pepperoni Pizza and the Tomato Soup....,2018-09-03 11:43:59,Robert M.,nv_9XRl7cBe03fF3bFb2wQ
99,lGN37GyLvbt5SJnZGU0pQA,BC's Cavern on the Green,33.6603660583496,-117.826133728027,0.0,0,$,1,31,3.0,Food Stands,n/a,University Of California Irvine,Irvine,CA,92612,tpC5Gtz6_0lLDTNv2U9i6g,0.3612,0.098,0.0,0.902,"I usually come here for their salad bar which is $7.99/lb. There's a lot of variety with greens, sauces, and protein that I like. 

I've tried their...",2017-02-15 14:15:26,Nancy M.,WvAX7k4YmbVGYi2vrtVOag
100,lGN37GyLvbt5SJnZGU0pQA,BC's Cavern on the Green,33.6603660583496,-117.826133728027,0.0,0,$,1,31,3.0,Food Stands,n/a,University Of California Irvine,Irvine,CA,92612,zBTCprhSqoyyjZHJSQIw3w,-0.0352,0.0,0.042,0.958,"Such a rip-off.

I paid almost 13 bucks today for a chicken sandwich combo, and the chicken was dry and barely edible.

I can pay half as much at Habit for...",2018-06-11 16:37:44,Daniel N.,XEZVxZsn25N9AfkzPI6cPg
101,lGN37GyLvbt5SJnZGU0pQA,BC's Cavern on the Green,33.6603660583496,-117.826133728027,0.0,0,$,1,31,3.0,Food Stands,n/a,University Of California Irvine,Irvine,CA,92612,QnvXMHyEu_a7E52pgu8LAA,0.0,0.0,0.0,1.0,"My review is specifically for the Mexican food counter here at BC's Cavern. 

Service here is non-existent. I've been here several times and if it's not...",2017-04-30 12:36:42,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
102,ILs5B_wcYtYQeQP76-H3pQ,Which Wich,33.649927204458,-117.83190690116,0.97,1554,$,1,174,4.0,Sandwiches,n/a,4537 Campus Dr,Irvine,CA,92612,dUTYzlk7a3xiLJn4FU1Wng,0.8519,0.297,0.0,0.703,"First timer: Ordering process was different. After trying to attempt ordering on my own, I had to ask a worker. Luckily, he was helpful amd friendly. 

I...",2018-07-22 08:15:12,Mary V.,Sl3jm1hUCpud6UV-_s4XBg
103,ILs5B_wcYtYQeQP76-H3pQ,Which Wich,33.649927204458,-117.83190690116,0.97,1554,$,1,174,4.0,Sandwiches,n/a,4537 Campus Dr,Irvine,CA,92612,zoTEAufwzEr8pmQpV2dHhg,0.8481,0.233,0.0,0.767,Great parking and great location up the street from the school. I've never been here so the sheet with pencil tripped me out didn't know exactly what to do....,2018-09-14 23:01:54,Nelson M.,Ciz8fm9L_RroNr4xuDj27Q
104,ILs5B_wcYtYQeQP76-H3pQ,Which Wich,33.649927204458,-117.83190690116,0.97,1554,$,1,174,4.0,Sandwiches,n/a,4537 Campus Dr,Irvine,CA,92612,KtqGieIUv4LhgWTSZPtf9Q,0.1868,0.098,0.075,0.827,"Came here with a friend for a quick bite. It was after dinner hours so there was no wait and walked right up to order. 

We split the meatball sandwich and...",2017-11-29 12:20:43,Francine H.,Rg2J4V438Tmpl5W317D3oQ
105,z-La7mVgc7Y0iGXPs-uUWg,Wahoo's Fish Tacos,33.6493818973953,-117.842740416527,0.62,998,$,1,26,3.5,Mexican,n/a,437 Campus Dr,Irvine,CA,92612,tIPdblk3iduJu8s5NhZfFA,0.8047,0.241,0.0,0.759,"Wahoo's is not a bad choice if I ever do decide to eat on campus. The food is healthier and tastes better than the other fast food options. 

I like to get...",2018-08-13 22:13:24,Gracie W.,HrsOUf77EUu3aydEo_OVmw
106,z-La7mVgc7Y0iGXPs-uUWg,Wahoo's Fish Tacos,33.6493818973953,-117.842740416527,0.62,998,$,1,26,3.5,Mexican,n/a,437 Campus Dr,Irvine,CA,92612,Kg8HCmOAM_QRTtm-qmqQUA,0.6938,0.175,0.0,0.825,"If you want something similar to chipotle, but with more options, try Wahoos! Quality of food and the nutrition you get from it is really good for the price...",2017-06-01 17:34:14,Kylie K.,QmnxyRNYZ9P8N4XD6xT11Q
107,z-La7mVgc7Y0iGXPs-uUWg,Wahoo's Fish Tacos,33.6493818973953,-117.842740416527,0.62,998,$,1,26,3.5,Mexican,n/a,437 Campus Dr,Irvine,CA,92612,sZO2WU0ars-KCprIy1HwwQ,0.6369,0.139,0.0,0.861,"Came here around the lunchtime rush and after looking around at its competition, Wahoo seemed to be the best pick. Even though they're known for their fish...",2017-02-28 15:45:03,Ivy C.,pE_rKN0nhg1QRbr9dxiDew
108,61nCoxInTSrC8XGN_XWKXA,Bridge Cafe,33.6449078306951,-117.834882885218,0.62,1000,$,1,2,4.5,Cafes,Coffee & Tea,510 East Peltason Dr,Irvine,CA,92617,E8ydck2SFW66ikDbIz3WXQ,0.9186,0.382,0.0,0.618,"Awesome people with an amazing attitude, always greeting you with a smile and have some tasty varieties of snacks that will make your day just a little...",2018-07-18 11:26:33,Shaunt K.,Q9YF6lCsNCyrcNy_oTl5_g
109,61nCoxInTSrC8XGN_XWKXA,Bridge Cafe,33.6449078306951,-117.834882885218,0.62,1000,$,1,2,4.5,Cafes,Coffee & Tea,510 East Peltason Dr,Irvine,CA,92617,WERogTno7tazDng1hTQzsA,0.6486,0.181,0.0,0.819,Cute little cafe that just opened up inside UCI's new Division of Continuing Education building. It is located on the first floor and has a huge seating...,2016-09-21 14:29:52,Dean W.,y7XUw7wEHApwcF7zEKRZ2w
110,sTSi1EgTj8WFBz0Bv66Zbw,Taco Bell,33.6509483524066,-117.840873556031,0.75,1204,$,1,108,2.5,Mexican,Fast Food,4101 Campus Drive,Irvine,CA,92612,oKVMXnAJZoMBuU2IS4Y1CA,0.7178,0.204,0.056,0.74,I was pretty dehydrated to the point I was getting dizzy and pulled through the drive thru here to see if I could buy a bottle of water. The really kind man...,2018-08-24 15:39:39,Courtney S.,U20w-BzmiX7kIsC4uZNArg
111,sTSi1EgTj8WFBz0Bv66Zbw,Taco Bell,33.6509483524066,-117.840873556031,0.75,1204,$,1,108,2.5,Mexican,Fast Food,4101 Campus Drive,Irvine,CA,92612,O8EH7Vxk73kExDh30ZMnYQ,0.1154,0.116,0.132,0.752,"I was originally going to stop by in-n-out but the drive-thru line was too long. Taco Bell had no line at all. Easy call. 

Had a chicken chalupa and cheesy...",2018-06-21 06:20:31,Tommy P.,If-6q17kUxjiiqariaO5UQ
112,sTSi1EgTj8WFBz0Bv66Zbw,Taco Bell,33.6509483524066,-117.840873556031,0.75,1204,$,1,108,2.5,Mexican,Fast Food,4101 Campus Drive,Irvine,CA,92612,BqpfIuaaUsnDQrA0OvtdHQ,0.3802,0.085,0.0,0.915,Came through the drive thru on a weekday lunch and my cashier was lit! She made sure everything was accurate on my order. Then when i came up to the window...,2018-05-15 11:31:32,Ryan H.,j4_1iTRs5VCXtEJbuSf1EQ
113,PcInY-8UB4h2rirbx2azvg,Jack In The Box,33.6486587524414,-117.838020324707,0.67,1080,$,1,118,3.5,Fast Food,Burgers,4289 Campus Dr,Irvine,CA,92612,Ds2_QesG6zqOrEdRoMhgDA,-0.4404,0.072,0.172,0.756,"Compared to the other craptastic JIB locations in OC, this was a freaking gourmet experience. Well, no, not really. The food is fairly consistent and this...",2017-10-30 13:51:59,Roberto S.,RFUWtFf-FBirOgHHxAIRzA
114,PcInY-8UB4h2rirbx2azvg,Jack In The Box,33.6486587524414,-117.838020324707,0.67,1080,$,1,118,3.5,Fast Food,Burgers,4289 Campus Dr,Irvine,CA,92612,KA7gLu4dJgeUdTUSM90D7g,-0.296,0.0,0.073,0.927,18 minutes and Counting sitting in the Drive-Thru waiting for my food. There is no way to get out of this line. There's not that many people in the...,2018-09-03 19:31:54,H G.,mxH676D8YF_PG8hmLIYX_A
115,PcInY-8UB4h2rirbx2azvg,Jack In The Box,33.6486587524414,-117.838020324707,0.67,1080,$,1,118,3.5,Fast Food,Burgers,4289 Campus Dr,Irvine,CA,92612,oQdAsUPhnyJtmaL3gBwmxg,0.0,0.0,0.0,1.0,"Slow service.  They gave us table numbers, but then either started calling the numbers on the receipts or were randomly walking table to table asking if the...",2018-08-03 17:14:08,Brian Y.,v5mDPxGKLHM-2aQXQhgkKw
116,orp5iNOVFWBmG-dHyvvK3A,Wendy's,33.649545,-117.842714,0.63,1016,$,1,14,3.0,Burgers,Fast Food,113 Pereira Dr,Irvine,CA,92617,EHuWbhJZuOxK7anufjInWQ,-0.4588,0.0,0.091,0.909,"Sometimes, you just need to give in to the voice in the back of your mind that says, ""today is cheat day."" 

Wendy's is just another fast food place at UCI...",2017-05-10 14:05:40,Brandon T.,_EeB18mJsYQbaDxLmq5l_A
117,orp5iNOVFWBmG-dHyvvK3A,Wendy's,33.649545,-117.842714,0.63,1016,$,1,14,3.0,Burgers,Fast Food,113 Pereira Dr,Irvine,CA,92617,HYzxG7AKLvvM6sk2gO14hQ,0.8255,0.274,0.0,0.726,Pretty good for a in-school Wendy's was not expecting it. Very quick and fresh food I've had multiple items from the menu and everything tastes hot and...,2018-01-24 13:23:58,Michael T.,Tzd1-JcziU-R4laKk0dnZA
118,orp5iNOVFWBmG-dHyvvK3A,Wendy's,33.649545,-117.842714,0.63,1016,$,1,14,3.0,Burgers,Fast Food,113 Pereira Dr,Irvine,CA,92617,rR8-x_krJo3mHFCs1zfwQw,0.5859,0.119,0.0,0.881,"So full for a $4 meal. This time was my first time at a Wendy's and I must say that the prices are amazing. 

I picked the $4 meal (their new meal deal)...",2015-11-02 13:49:27,Sammi L.,kFtsYOf_EeBUJ9al435GJA
